Name,Price,Market price,Location,Thumbnail,Images,Gear,Odometer,Fuel type,Car condition,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Color,Registered Car,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Seats,Exchange Possible,VIN Chassis number,Mileage,VIN number
Mercedes-Benz E300 2021 Black,"₦ 45,000,000",,"Abuja, Kubwa",https://pictures-nigeria.jijistatic.com/107631091_NjIwLTYyMC04MDcwMGE2ZTMz.webp,https://pictures-nigeria.jijistatic.com/107631091_MTExLTExMS04MDcwMGE2ZTMz.webp | https://pictures-nigeria.jijistatic.com/107631085_MTExLTExMS1kYTViY2UzYjMz.webp | https://pictures-nigeria.jijistatic.com/107631087_MTExLTExMS04MTNiNmE1N2Qw.webp | https://pictures-nigeria.jijistatic.com/107631084_MTExLTExMS0zOGI4NzU5Mjdi.webp | https://pictures-nigeria.jijistatic.com/107631088_MTExLTExMS02YzljMzJlMGY5.webp,Automatic,8000 km,,Foreign Used,,GURU's global company,https://jiji.ng/kubwa/cars/mercedes-benz-e300-2021-black-fd0wMEvOEGhdRcvyUxX2BrUr.html,No faults,Mercedes-Benz,E300,2021,Black,,,,,,,,,,,,
Toyota Land Cruiser 4.5 V8 GXR 2015 Black,"₦ 75,000,000,",₦ 30 M ~ 35.45 M,"Lagos, Ikoyi",https://pictures-nigeria.jijistatic.com/117221181_NjIwLTgyNy00NGU0NDBmYzRk.webp,https://pictures-nigeria.jijistatic.com/117221181_MTExLTE0OC00NGU0NDBmYzRk.webp | https://pictures-nigeria.jijistatic.com/117221183_MTExLTE0OC01Y2RlNWY4ODRi.webp | https://pictures-nigeria.jijistatic.com/117221188_MTExLTE0OC04ZWRmYjM2MmUx.webp | https://pictures-nigeria.jijistatic.com/117221189_MTExLTE0OC0xM2ZmNGRkMjk2.webp | https://pictures-nigeria.jijistatic.com/117221190_MTExLTE0OC0wNjU4ODVmOTcx.webp,Automatic,208370 km,Petrol,Nigerian Used,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Android Auto | Anti-Lock Brakes | Armrests | Blind Spot Monitor | Bullbar | CarPlay | Cruise Control | Cup Holders | Electric Mirrors | Electric Windows | Front Fog Lamps | Leather Seats | LED Headlights | Parking Assist | Parking Sensors | Roof Rack | Sidesteps | Spotlight | Sunroof | Traction Control | Winch | Xenon Lights,Laraba And Sons Motors Limited,https://jiji.ng/ikoyi-obalende/cars/toyota-land-cruiser-4-5-v8-gxr-2015-black-4Xt1DqLi1Pn3a4kYgdzlDGwP.html,No faults,Toyota,Land Cruiser,2015,Black,Yes,4.5 V8 GXR,SUV,All Wheel,4500           cc,8,249           hp,8,,,,
Mercedes-Benz E350 2012 Gray,"₦ 8,900,000,",₦ 8.9 M ~ 9.25 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/116603701_NjIwLTQ2NS1lMTc4M2JhOTc0.webp,https://pictures-nigeria.jijistatic.com/116603701_MTExLTgzLWUxNzgzYmE5NzQ.webp | https://pictures-nigeria.jijistatic.com/116603700_MTExLTgzLTEwNTk5NzE5ZGE.webp | https://pictures-nigeria.jijistatic.com/116603737_MTExLTgzLTE3ZjY2YTkzODE.webp | https://pictures-nigeria.jijistatic.com/116603735_MTExLTgzLTg5Nzk5MDhmYmI.webp | https://pictures-nigeria.jijistatic.com/116603734_MTExLTgzLTY0NTk1MzU5NjA.webp,Automatic,182000 km,Petrol,Foreign Used,,Mos Autos,https://jiji.ng/gwarinpa/cars/mercedes-benz-e350-2012-gray-tZg0wyMtL2p1qPzWNBdIHFgS.html,No faults,Mercedes-Benz,E350,2012,Gray,Yes,Base 4dr 4Matic Sedan AWD (3.5L 6cyl 7A),Sedan,All Wheel,3500           cc,6,302           hp,5,,,,
Lexus ES 300 2005 Gold,"₦ 2,000,000,",₦ 2.3 M ~ 2.36 M,"Imo, Owerri",https://pictures-nigeria.jijistatic.com/116902163_NjIwLTc2Ni1hOWE5ZjYwYmMy.webp,https://pictures-nigeria.jijistatic.com/116902163_MTExLTEzNy1hOWE5ZjYwYmMy.webp | https://pictures-nigeria.jijistatic.com/116902165_MTExLTgzLWE0NWVkYjExY2M.webp | https://pictures-nigeria.jijistatic.com/116902164_MTExLTE0MC0yNDQ3ZGZiNWMx.webp | https://pictures-nigeria.jijistatic.com/116902167_MTExLTEzOS1jYjNlYWI4M2I1.webp | https://pictures-nigeria.jijistatic.com/116902166_MTExLTEzNy0zYTJkZjU3ZGE4.webp,Automatic,101212 km,Petrol,Nigerian Used,AM/FM Radio | Airbags | Alloy Wheels | CD Player | Air Conditioning,Ebube Okoye,https://jiji.ng/owerri-municipal/cars/lexus-es-300-2005-gold-sgXBBSsOAFTMkn9VXWMZPEFr.html,No faults,Lexus,ES,2005,Gold,Yes,300,Sedan,Front Wheel,3000           cc,4,220           hp,5,No,,,
New Hyundai Sonata 2020 Limited White,"₦ 18,500,000",,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/63671205_img-20210310-wa0004_620x827.webp,https://pictures-nigeria.jijistatic.com/63671205_img-20210310-wa0004_111x148.webp | https://pictures-nigeria.jijistatic.com/63671204_img-20210310-wa0003_111x148.webp | https://pictures-nigeria.jijistatic.com/63671211_img-20210224-wa0033_111x148.webp | https://pictures-nigeria.jijistatic.com/63671207_img-20210310-wa0005_111x148.webp | https://pictures-nigeria.jijistatic.com/63671296_img-20210224-wa0032_111x148.webp,Automatic,10 km,Petrol,Brand New,,Chuka Eze,https://jiji.ng/amuwo-odofin/cars/new-hyundai-sonata-2020-limited-white-cSCjLMXOKnsiJ11ikJRSj4CA.html,No faults,Hyundai,Sonata,2020,White,No,Limited,Sedan,Front Wheel,1600           cc,4,110           hp,5,,,,
Toyota Sienna SE 8 Passenger 2011 Black,"₦ 7,200,000",₦ 7.5 M ~ 8.35 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/103520668_NjIwLTgyNy1iMjg3NTFiZDEx.webp,https://pictures-nigeria.jijistatic.com/103520668_MTExLTE0OC1iMjg3NTFiZDEx.webp | https://pictures-nigeria.jijistatic.com/103520375_MTExLTE0OC00YTczM2IwNjZj.webp | https://pictures-nigeria.jijistatic.com/103520376_MTExLTE0OC02NDFlNTBlMmQ5.webp | https://pictures-nigeria.jijistatic.com/103520471_MTExLTE0OC1kZDI5ODQ1ZWVi.webp | https://pictures-nigeria.jijistatic.com/108265257_MTExLTE0OC03Mzk3YWRmOTkx.webp,Automatic,,Petrol,Foreign Used,,Inovora International Limited,https://jiji.ng/ogba/cars/toyota-sienna-se-8-passenger-2011-black-wYq0qC5may3QvXQdxzrlgnNW.html,No faults,Toyota,Sienna,2011,Black,No,SE 8 Passenger,Minivan,Front Wheel,3500           cc,6,270           hp,8,No,,,
Lexus RX 350 2013 Gray,"₦ 9,100,000,",₦ 10 M ~ 10.9 M,"Akwa Ibom, Uyo",https://pictures-nigeria.jijistatic.com/106949030_NjIwLTgyOS1hZDQxMGY4Mzc5.webp,https://pictures-nigeria.jijistatic.com/106949030_MTExLTE0OC1hZDQxMGY4Mzc5.webp | https://pictures-nigeria.jijistatic.com/106949027_MTExLTE0OC1mYWIyYjhmMTU3.webp | https://pictures-nigeria.jijistatic.com/106949029_MTExLTE0OC1mZmVjYmUyZWI3.webp | https://pictures-nigeria.jijistatic.com/106949025_MTExLTE0OC1jMzg1MDU5OTg5.webp | https://pictures-nigeria.jijistatic.com/106949024_MTExLTE0OC0zNTdhNTJkZjFj.webp,Automatic,71300 km,,Nigerian Used,,D Boutique &amp; Movemen,https://jiji.ng/uyo/cars/lexus-rx-350-2013-gray-xyIGeCvb0Z3UndBcGXGuUsar.html,"First owner, First registration",Lexus,RX 350,2013,Gray,Yes,,,,,,,,,,,
Toyota RAV4 2010 3.5 Limited Black,"₦ 5,900,000",₦ 6.55 M ~ 6.92 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/87491929_NjIwLTQ2NS05OGIwOWVhMmVi.webp,https://pictures-nigeria.jijistatic.com/87491929_MTExLTgzLTk4YjA5ZWEyZWI.webp | https://pictures-nigeria.jijistatic.com/87491956_MTExLTgzLWIxN2U1MDNjNDA.webp | https://pictures-nigeria.jijistatic.com/87491927_MTExLTgzLTg4M2I4MGJlNTc.webp | https://pictures-nigeria.jijistatic.com/87491932_MTExLTgzLWMwOWM4YTZmOWE.webp | https://pictures-nigeria.jijistatic.com/87491945_MTExLTgzLTRlYzhjZTBlYzA.webp,Automatic,,Petrol,Foreign Used,,Delight Autos,https://jiji.ng/apapa/cars/toyota-rav4-2010-3-5-limited-black-yYfZRaksrRUU0wCNjic2slB.html,"No faults, Unpainted, Original parts",Toyota,RAV4,2010,Black,No,3.5 Limited,SUV,Front Wheel,3500           cc,6,,5,,,,
Honda CR-V 2008 Blue,"₦ 3,200,000",₦ 2.75 M ~ 2.85 M,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/117101543_NjIwLTU1Ni03M2I1N2JkNWM0.webp,https://pictures-nigeria.jijistatic.com/117101543_MTExLTEwMC03M2I1N2JkNWM0.webp | https://pictures-nigeria.jijistatic.com/117076824_MTExLTgzLWJlOGUzMTAzN2M.webp | https://pictures-nigeria.jijistatic.com/117076829_MTExLTE0OC05NDQ0MGI4OGY3.webp | https://pictures-nigeria.jijistatic.com/117076826_MTExLTE0OC1lYzE1M2ViN2Qw.webp | https://pictures-nigeria.jijistatic.com/117076827_MTExLTgzLTNlNTdiOTEzMzM.webp,Automatic,,,Nigerian Used,,M&T Enterprises,https://jiji.ng/port-harcourt/cars/honda-cr-v-2008-blue-ns7juVH3FJ46swqVQDoARGB5.html,No faults,Honda,CR-V,2008,Blue,Yes,,,,,,,,,,,
Toyota Highlander Limited 2008 Silver,"₦ 4,500,000,",₦ 5.64 M ~ 5.95 M,"Kaduna, Kaduna / Kaduna State",https://pictures-nigeria.jijistatic.com/114770936_NjIwLTQ2NS0xOTFiNTVkZmZj.webp,https://pictures-nigeria.jijistatic.com/114770936_MTExLTgzLTE5MWI1NWRmZmM.webp | https://pictures-nigeria.jijistatic.com/114770932_MTExLTgzLTI0OGM2ZGRiZmU.webp | https://pictures-nigeria.jijistatic.com/114770934_MTExLTgzLTc4N2I3ZjRhYWM.webp | https://pictures-nigeria.jijistatic.com/114770941_MTExLTgzLTgzMWNjOWY2ZDk.webp | https://pictures-nigeria.jijistatic.com/114770937_MTExLTgzLWZmOTVmMTBhYTc.webp,Automatic,189746 km,Petrol,Nigerian Used,Electric Windows | Parking Sensors | Front Fog Lamps | Air Conditioning | Airbags | Electric Mirrors | Alloy Wheels | LED Headlights | CD Player | AM/FM Radio,Magic Touch Ventures,https://jiji.ng/kaduna-north/cars/toyota-highlander-limited-2008-silver-ad1CmBGWCuzHU3IsPlfluIc6.html,"No faults, Original parts",Toyota,Highlander,2008,Silver,Yes,Limited,SUV,Front Wheel,3500           cc,6,275           hp,7,No,,,
Acura MDX 2012 Black,"₦ 5,300,000",,"Lagos, Ibeju",https://pictures-nigeria.jijistatic.com/114989441_NjIwLTgyOC05NGMxMzk0ZmVm.webp,https://pictures-nigeria.jijistatic.com/114989441_MTExLTE0OC05NGMxMzk0ZmVm.webp | https://pictures-nigeria.jijistatic.com/114989439_MTExLTE0OC1jYmUwZjYxYzZl.webp | https://pictures-nigeria.jijistatic.com/114989440_MTExLTE0OC0yMDIxZjBiNjJl.webp | https://pictures-nigeria.jijistatic.com/114989443_MTExLTE0OC1mOGYxYmZlMzYw.webp | https://pictures-nigeria.jijistatic.com/114989450_MTExLTE0OC1lYzkyMGRkZDE5.webp,Automatic,,Petrol,Nigerian Used,Spotlight | Alloy Wheels | Air Conditioning | Electric Mirrors | AM/FM Radio | Parking Assist | Parking Sensors | CD Player | Armrests | Blind Spot Monitor | CD Player | Android Auto | Airbags | Electric Windows | Cup Holders | Alloy Wheels | Anti-Lock Brakes | Sidesteps | Leather Seats | LED Headlights | Roof Rack | Xenon Lights | Traction Control | Air Conditioning | Bullbar | Sunroof | Front Fog Lamps | AM/FM Radio | Cruise Control | Winch | Airbags | CarPlay,Grace Okafor,https://jiji.ng/ibeju/cars/acura-mdx-2012-black-lLYs97ZVMWANrJPrirER4Vq.html,No faults,Acura,MDX,2012,Black,Yes,SUV 4dr AWD (3.7L 6cyl 6A),SUV,All Wheel,3700           cc,6,300           hp,7,,,,
Toyota Avanza 2010 Gray,"₦ 10,500,000,",,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/117082543_NjIwLTQ2NS01MDY0MTkyZTFm.webp,https://pictures-nigeria.jijistatic.com/117082543_MTExLTgzLTUwNjQxOTJlMWY.webp | https://pictures-nigeria.jijistatic.com/117082544_MTExLTgzLTJjYTE2N2QwMTg.webp | https://pictures-nigeria.jijistatic.com/117082546_MTExLTgzLWU0OTQzNjdhYjY.webp | https://pictures-nigeria.jijistatic.com/117082548_MTExLTgzLWU5NDlhYmI4OWE.webp | https://pictures-nigeria.jijistatic.com/117082545_MTExLTgzLTc5MDZhYjM1ODE.webp,Automatic,65000 km,,Foreign Used,Air Conditioning | AM/FM Radio | Cruise Control | CD Player | Airbags | Alloy Wheels | Armrests | Leather Seats | Front Fog Lamps | Sunroof,Mustapha Jamiyu,https://jiji.ng/gwarinpa/cars/toyota-avanza-2010-gray-Dn88HdHdIiDgb2B6JxDj6zb.html,No faults,Toyota,Avanza,2010,Gray,No,,,,,,,,,,,
Toyota Corolla LE 2007 Blue,"₦ 2,250,000",₦ 2.5 M ~ 2.6 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/116665937_NjIwLTQ2NS0xNGY0NDI0ZDM2.webp,https://pictures-nigeria.jijistatic.com/116665937_MTExLTgzLTE0ZjQ0MjRkMzY.webp | https://pictures-nigeria.jijistatic.com/116665938_MTExLTgzLThmY2YyNDE3ZDE.webp | https://pictures-nigeria.jijistatic.com/116665939_MTExLTgzLTJkYzg5ODk1YmI.webp | https://pictures-nigeria.jijistatic.com/116665940_MTExLTgzLWNhNzc0NTYyMDY.webp | https://pictures-nigeria.jijistatic.com/116665942_MTExLTgzLWFiMWM3NGNmODY.webp,Automatic,125807 km,Petrol,Nigerian Used,Air Conditioning | Alloy Wheels | Anti-Lock Brakes | AM/FM Radio | Air Conditioning | Airbags | CD Player | Airbags | Alloy Wheels | CD Player | AM/FM Radio,Omoleye Joshua,https://jiji.ng/ogba/cars/toyota-corolla-le-2007-blue-k8Hv4epbGwIN7HdjIe9rlzKy.html,"No faults, First owner, First registration",Toyota,Corolla,2007,Blue,Yes,LE,Sedan,Front,1800           cc,4,128           hp,5,,,,
Lexus RX 350 AWD 2012 Black,"₦ 14,500,000",₦ 11.72 M ~ 12 M,"Lagos, Lekki",https://pictures-nigeria.jijistatic.com/105178311_NjIwLTkzMC04ZDRiMjA3ZThi.webp,https://pictures-nigeria.jijistatic.com/105178311_MTExLTE2Ni04ZDRiMjA3ZThi.webp | https://pictures-nigeria.jijistatic.com/105178315_MTExLTE2Ni1hODYyM2I0Y2Fm.webp | https://pictures-nigeria.jijistatic.com/105178324_MTExLTE2Ni1lYzY3NTU1Y2Uw.webp | https://pictures-nigeria.jijistatic.com/105178325_MTExLTE2Ni1hMDhkMWU0NTY0.webp | https://pictures-nigeria.jijistatic.com/105178326_MTExLTE2Ni03N2Y4ZDQ1N2Q5.webp,Automatic,,,Foreign Used,,Francis Aladi,https://jiji.ng/lekki/cars/lexus-rx-350-awd-2012-black-DxjESGAmppNle3KahD6BQGE.html,"No faults, Unpainted, Original parts",Lexus,RX,2012,Black,No,350 AWD,SUV,,,,,,No,2T2BK1BA6CC******,,
Toyota Tundra 2002 Black,"₦ 4,600,000,",,"Lagos, Isolo",https://pictures-nigeria.jijistatic.com/109096646_NjIwLTQ2NS1jMDg5MjkzNWRk.webp,https://pictures-nigeria.jijistatic.com/109096646_MTExLTgzLWMwODkyOTM1ZGQ.webp | https://pictures-nigeria.jijistatic.com/109096680_MTExLTgzLWY0MjkzYTMxY2M.webp | https://pictures-nigeria.jijistatic.com/109096655_MTExLTgzLTUyMmJiODYxZGI.webp | https://pictures-nigeria.jijistatic.com/109096652_MTExLTgzLTU1NjBjNDlhMDM.webp | https://pictures-nigeria.jijistatic.com/109096662_MTExLTgzLTcwZTQ3MjFlODE.webp,Automatic,,,Foreign Used,,FRANK NONNYDONS AUTOS,https://jiji.ng/isolo/cars/toyota-tundra-2002-black-mA4aqMIbFoy7HKslINORqgya.html,No faults,Toyota,Tundra,2002,Black,No,,,,,,,,,,,
Lexus RX 330 2004 Silver,"₦ 6,900,000,",₦ 6.3 M ~ 6.5 M,"Lagos, Alimosho",https://pictures-nigeria.jijistatic.com/116833504_NjIwLTQ5Ni1kMzE4NzM1YmJl.webp,https://pictures-nigeria.jijistatic.com/116833504_MTExLTg5LWQzMTg3MzViYmU.webp | https://pictures-nigeria.jijistatic.com/116833522_MTExLTg5LTU0ZTNmMzI3YTY.webp | https://pictures-nigeria.jijistatic.com/116833555_MTExLTg5LWNkMDliNzQ1NDM.webp | https://pictures-nigeria.jijistatic.com/116833593_MTExLTg5LTA3MTUzNTYwOTM.webp | https://pictures-nigeria.jijistatic.com/116833601_MTExLTg5LWU5N2NhYjUwYjg.webp,Automatic,106227 km,,Foreign Used,,Sulaiman Sunkanmi,https://jiji.ng/alimosho/cars/lexus-rx-330-2004-silver-rWeneybVxe7j5ttM4uUMP4F7.html,"Unpainted, Original parts",Lexus,RX,2004,Silver,No,330,,,,,,,,,,
Land Rover Range Rover Vogue 2014 Brown,"₦ 20,000,000",₦ 22.92 M ~ 24.75 M,"Abuja, Central Business District",https://pictures-nigeria.jijistatic.com/108904666_NjIwLTgyNy0wNzZkOTljZGIx.webp,https://pictures-nigeria.jijistatic.com/108904666_MTExLTE0OC0wNzZkOTljZGIx.webp | https://pictures-nigeria.jijistatic.com/108904683_MTExLTE0OC02NjFlNDhiZjQz.webp | https://pictures-nigeria.jijistatic.com/108904667_MTExLTE0OC1kNzQzNjgxMTcw.webp | https://pictures-nigeria.jijistatic.com/108904680_MTExLTgzLTA3M2JlOTY3MmM.webp | https://pictures-nigeria.jijistatic.com/108904684_MTExLTE0OC1mNmJkOTIzZjc2.webp,Automatic,95233 km,,Nigerian Used,,Onuko Ezeh,https://jiji.ng/central-business-district/cars/land-rover-range-rover-vogue-2014-brown-mP1NAfl6j24F9pIAACjtzuty.html,"Original parts, First registration, Unpainted",Land Rover,Range Rover Vogue,2014,Brown,Yes,,,,,,,,,3N1AB7AP3SD******,,
Toyota Camry 2.4 LE 2008 Gray,"₦ 3,200,000",₦ 2.95 M ~ 3.2 M,"Anambra, Awka",https://pictures-nigeria.jijistatic.com/116002640_NjIwLTQ2NS0xNGZkYTQxMWM5.webp,https://pictures-nigeria.jijistatic.com/116002640_MTExLTgzLTE0ZmRhNDExYzk.webp | https://pictures-nigeria.jijistatic.com/116002641_MTExLTgzLWUyZjlkODBiYWM.webp | https://pictures-nigeria.jijistatic.com/116002643_MTExLTE0OC1iNjA3NzE0Yzky.webp | https://pictures-nigeria.jijistatic.com/116002642_MTExLTE0OC05OTRkMWMwYWIz.webp | https://pictures-nigeria.jijistatic.com/116002646_MTExLTE0OC0xNjA4MzI0ZGFi.webp,Automatic,96000 km,Petrol,Nigerian Used,,Valentine Val,https://jiji.ng/awka-south/cars/toyota-camry-2-4-le-2008-gray-mUR8tKBBbymEydY2cmGlzKMH.html,No faults,Toyota,Camry,2008,Gray,Yes,2.4 LE,,Front,,,158           hp,5,,,,
Toyota C-Hr 2018 Gray,"₦ 14,500,000",,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/111043169_NjIwLTQ2NS1iMjBlZTI1ZTcz.webp,https://pictures-nigeria.jijistatic.com/111043169_MTExLTgzLWIyMGVlMjVlNzM.webp | https://pictures-nigeria.jijistatic.com/111043177_MTExLTgzLWM2MWFlZDhjMjQ.webp | https://pictures-nigeria.jijistatic.com/111043170_MTExLTE0OC0xODMyOGFmZGE5.webp | https://pictures-nigeria.jijistatic.com/111043171_MTExLTE0OC0zYTQyODQzYzBi.webp | https://pictures-nigeria.jijistatic.com/111043172_MTExLTgzLThiYTJkMTJmM2U.webp,Automatic,,,Foreign Used,,Tenimu Realdwanullah,https://jiji.ng/gwarinpa/cars/toyota-c-hr-2018-gray-unER85GbOG6V1l4l2YpqxaIb.html,No faults,Toyota,C-HR,2018,Gray,,,,,,,,,,,,
Toyota Sienna XLE AWD 7-Passenger 2013 Gray,"₦ 7,000,000,",₦ 6.02 M ~ 6.4 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/116851602_NjIwLTQ2NS1kOWViYmVkNWVk.webp,https://pictures-nigeria.jijistatic.com/116851602_MTExLTgzLWQ5ZWJiZWQ1ZWQ.webp | https://pictures-nigeria.jijistatic.com/116851644_MTExLTgzLTIzNzExMDEyMjM.webp | https://pictures-nigeria.jijistatic.com/116851645_MTExLTgzLTFkMjA5MTBkOTM.webp | https://pictures-nigeria.jijistatic.com/116851646_MTExLTgzLWZiNmM4YmE2ZGQ.webp | https://pictures-nigeria.jijistatic.com/116851647_MTExLTgzLTdlZGZiOTgxMjI.webp,Automatic,91491 km,Petrol,Nigerian Used,,Wheelers Automobiles,https://jiji.ng/amuwo-odofin/cars/toyota-sienna-xle-awd-7-passenger-2013-gray-5x0FZt8A3F0MQrpibHvwBzg2.html,"Unpainted, No faults",Toyota,Sienna,2013,Gray,Yes,XLE AWD 7-Passenger,Minivan,All Wheel,3500           cc,6,266           hp,7,,,,
Toyota Corolla S 2004 Silver,"₦ 2,200,000,",₦ 2.45 M ~ 2.6 M,"Lagos, Ibeju",https://pictures-nigeria.jijistatic.com/116091430_NjIwLTQ2NS0zODNhMzliZTdi.webp,https://pictures-nigeria.jijistatic.com/116091430_MTExLTgzLTM4M2EzOWJlN2I.webp | https://pictures-nigeria.jijistatic.com/116091431_MTExLTgzLTAxYzBjYzYwNWQ.webp | https://pictures-nigeria.jijistatic.com/116091424_MTExLTgzLWUzNmE3MjdhZDk.webp | https://pictures-nigeria.jijistatic.com/116091425_MTExLTE0OC0wY2RjNTVhZTU2.webp | https://pictures-nigeria.jijistatic.com/116091429_MTExLTgzLTI1NDk0ZmM0YWY.webp,Automatic,,Petrol,Nigerian Used,Anti-Lock Brakes | CD Player | Electric Mirrors | Electric Windows | Alloy Wheels | Air Conditioning | Airbags | AM/FM Radio | Cup Holders | Cruise Control | Sunroof,Turi Ultimate Enterprises,https://jiji.ng/ibeju/cars/toyota-corolla-s-2004-silver-5pY0MPRPGLOQSZMgAqxyk5i1.html,"No faults, Original parts",Toyota,Corolla,2004,Silver,Yes,S,Sedan,Front,1800           cc,4,132           hp,5,No,,,
Toyota 4-Runner 2015 White,"₦ 19,950,000,",₦ 24.1 M ~ 25.5 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/116420686_NjIwLTQ2NS05YjFiNTEzMjg2.webp,https://pictures-nigeria.jijistatic.com/116420686_MTExLTgzLTliMWI1MTMyODY.webp | https://pictures-nigeria.jijistatic.com/116420660_MTExLTgzLTYzODA3YTFiYmE.webp | https://pictures-nigeria.jijistatic.com/116420661_MTExLTgzLWU3M2UxNDQzZTU.webp | https://pictures-nigeria.jijistatic.com/116420673_MTExLTgzLTQ5NzU5MjM4ODM.webp | https://pictures-nigeria.jijistatic.com/116420672_MTExLTgzLTkxMGNjNjAxY2U.webp,Automatic,45848 km,Petrol,Foreign Used,Sidesteps | Air Conditioning | Leather Seats | Parking Sensors | Front Fog Lamps | Airbags | AM/FM Radio | Cup Holders | Parking Assist | Electric Windows | Alloy Wheels | CD Player | Electric Mirrors,EKESONMOTORS,https://jiji.ng/amuwo-odofin/cars/toyota-4-runner-2015-white-2NDTTg1o7yghgizFxud9plSJ.html,"Unpainted, No faults, Original parts",Toyota,4-Runner,2015,White,No,Limited 4dr SUV 4WD (4.0L 6cyl 5A),SUV,All Wheel,4000           cc,6,270           hp,5,,,,
Toyota Venza 2015 Black,"₦ 12,800,000",₦ 13.59 M ~ 13.84 M,"Abuja, Lugbe District",https://pictures-nigeria.jijistatic.com/115861548_NjIwLTQ2NS04YTU0YzI4MjE5.webp,https://pictures-nigeria.jijistatic.com/115861548_MTExLTgzLThhNTRjMjgyMTk.webp | https://pictures-nigeria.jijistatic.com/115861551_MTExLTgzLTcxOTUzZDQzYmY.webp | https://pictures-nigeria.jijistatic.com/115861559_MTExLTgzLWU2NGFkMzk2Y2E.webp | https://pictures-nigeria.jijistatic.com/115861555_MTExLTgzLTdlYTBiM2ZlYWI.webp | https://pictures-nigeria.jijistatic.com/115861554_MTExLTgzLTJkMmQxYzljNjI.webp,Automatic,,Petrol,Foreign Used,,Nuelautos,https://jiji.ng/lugbe/cars/toyota-venza-2015-black-zLMa1NZxo1zPQfXbSOXAK1mQ.html,No faults,Toyota,Venza,2015,Black,No,XLE 4dr Wagon AWD (3.5L 6cyl 6A),SUV,All Wheel,3500           cc,6,268           hp,5,,,,
Toyota Land Cruiser Prado 2008 Black,"₦ 6,200,000,",₦ 6.14 M ~ 6.96 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/117221851_NjIwLTQ2NS1iOTI5YTYwZmRl.webp,https://pictures-nigeria.jijistatic.com/117221851_MTExLTgzLWI5MjlhNjBmZGU.webp | https://pictures-nigeria.jijistatic.com/117221816_MTExLTgzLWMyZWI4YTQ3MTM.webp | https://pictures-nigeria.jijistatic.com/117221789_MTExLTgzLTJjODQwNzNmZjY.webp | https://pictures-nigeria.jijistatic.com/117221793_MTExLTgzLWU0ZmUzM2JlMmM.webp | https://pictures-nigeria.jijistatic.com/117221810_MTExLTgzLTdiODkxMWUwZmU.webp,Automatic,92746 km,,Nigerian Used,,GT Autos Sales Limited,https://jiji.ng/ikeja/cars/toyota-land-cruiser-prado-2008-black-gci24jfxSPukBGsc815NQ0R6.html,No faults,Toyota,Land Cruiser Prado,2008,Black,Yes,,,,,,,,,,,
Toyota Avalon XL W/Bucket Seats 2002 Silver,"₦ 1,200,000,",₦ 1.6 M ~ 1.65 M,"Lagos, Ifako-Ijaiye",https://pictures-nigeria.jijistatic.com/117365188_NjIwLTYyMC0yYTRjMDJkMzg0.webp,https://pictures-nigeria.jijistatic.com/117365188_MTExLTExMS0yYTRjMDJkMzg0.webp | https://pictures-nigeria.jijistatic.com/117365207_MTExLTExMS0zYTk5NzA5N2Y0.webp | https://pictures-nigeria.jijistatic.com/117365167_MTExLTExMS03N2VmYzJhYWQz.webp | https://pictures-nigeria.jijistatic.com/117365173_MTExLTExMS01ZTEyNWE5OWI3.webp | https://pictures-nigeria.jijistatic.com/117365180_MTExLTExMS1hNTdkMjI1ZmQz.webp,Automatic,1352436 km,Petrol,Nigerian Used,,Taoeed Alani,https://jiji.ng/ifako-ijaiye/cars/toyota-avalon-xl-w-bucket-seats-2002-silver-6mU3GJTjlQ3XIEcG6J22eWZq.html,No faults,Toyota,Avalon,2002,Silver,Yes,XL w/Bucket Seats,Sedan,Front Wheel,3000           cc,6,210           hp,5 or 6,,,,
