Name,Price,Market price,Location,Thumbnail,Images,Gear,Odometer,Fuel type,Car condition,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Seats,Registered Car,Exchange Possible,VIN Chassis number,VIN number,Mileage
Toyota Tacoma PreRunner Access Cab 2006 Burgandy,"₦ 5,900,000,",₦ 5.83 M ~ 6 M,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/116881895_NjIwLTEwMjEtY2VmYmNiZGE0Ng.webp,https://pictures-nigeria.jijistatic.com/116881895_MTExLTE4My1jZWZiY2JkYTQ2.webp | https://pictures-nigeria.jijistatic.com/116881888_MTExLTE4MS1kMWUxYTIxMzU5.webp | https://pictures-nigeria.jijistatic.com/116881890_MTExLTE4NS02NTU4YmVlMDE4.webp | https://pictures-nigeria.jijistatic.com/116881889_MTExLTE4NS1mNTI0YTVkZGJi.webp | https://pictures-nigeria.jijistatic.com/116881892_MTExLTE3Ny0xM2I0Y2UxNzc4.webp,Automatic,99584 km,,Nigerian Used,,GT Autos Sales Limited,https://jiji.ng/ojodu/cars/toyota-tacoma-prerunner-access-cab-2006-burgandy-7JdJ3u4aTqODeUcvOhkWajrP.html,"First owner, No faults, Unpainted",Toyota,Tacoma,2006,PreRunner Access Cab,Pickup,Rear Wheel,2700           cc,4,161           hp,Burgandy,4,Yes,,,,
Lexus RX 350 2007 Beige,"₦ 6,300,000",₦ 6.7 M ~ 7 M,"Lagos, Abule Egba",https://pictures-nigeria.jijistatic.com/117228700_NjIwLTQ2NS1iNDQ2NDFiOTQ0.webp,https://pictures-nigeria.jijistatic.com/117228700_MTExLTgzLWI0NDY0MWI5NDQ.webp | https://pictures-nigeria.jijistatic.com/117234333_MTExLTgzLTkzNGFlNzJlMTI.webp | https://pictures-nigeria.jijistatic.com/117228653_MTExLTgzLTVjMWFjMTYwNzg.webp | https://pictures-nigeria.jijistatic.com/117234335_MTExLTgzLTY5YThlODQxMjA.webp | https://pictures-nigeria.jijistatic.com/117234336_MTExLTE0OC05NGFlMTU2N2M5.webp,Automatic,685421 km,,Foreign Used,,Tiwa Global,https://jiji.ng/lagos-abule-egba/cars/lexus-rx-350-2007-beige-aureNcQJfcb62DSvXr5JfSQQ.html,Original parts,Lexus,RX 350,2007,,,,,,,Beige,,No,,,,
Acura MDX 2008 Gray,"₦ 6,000,000,",₦ 4.85 M ~ 5.2 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/116576387_NjIwLTQ2NS1jNWU0NzI2M2U1LTE.webp,https://pictures-nigeria.jijistatic.com/116576387_MTExLTgzLWM1ZTQ3MjYzZTUtMQ.webp | https://pictures-nigeria.jijistatic.com/116576380_MTExLTgzLTdkOTI0YjZhYzEtMQ.webp | https://pictures-nigeria.jijistatic.com/116576381_MTExLTgzLTE1YjkzNDRiMDMtMQ.webp | https://pictures-nigeria.jijistatic.com/116576383_MTExLTgzLTI5YTdmZDRkY2QtMQ.webp | https://pictures-nigeria.jijistatic.com/116576389_MTExLTgzLWE0ODQ1M2QwYjgtMQ.webp,Automatic,,Petrol,Foreign Used,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Anti-Lock Brakes | Armrests | Blind Spot Monitor | Bullbar | Cruise Control | Cup Holders | Electric Mirrors | Electric Windows | Front Fog Lamps | Leather Seats | LED Headlights | Parking Assist | Parking Sensors | Roof Rack | Sidesteps | Spotlight | Sunroof | Traction Control | Winch | Xenon Lights,AUSTIN Automobile MOTORS,https://jiji.ng/apapa/cars/acura-mdx-2008-gray-aCERyo8dwWnNQ8UjyPkEy2pV.html,No faults,Acura,MDX,2008,Sport 4dr AWD (3.7L 6cyl 5A),SUV,All Wheel,3700           cc,6,300           hp,Gray,7,No,,,,
Toyota Sienna LE 2008 Gray,"₦ 4,950,000",₦ 4.8 M ~ 5.09 M,"Lagos, Magodo",https://pictures-nigeria.jijistatic.com/112623543_NjIwLTQ2NS03NDJmODMyYjZi.webp,https://pictures-nigeria.jijistatic.com/112623543_MTExLTgzLTc0MmY4MzJiNmI.webp | https://pictures-nigeria.jijistatic.com/112623546_MTExLTgzLTRhODhjZmNkZWU.webp | https://pictures-nigeria.jijistatic.com/112623547_MTExLTgzLTZjODc1MjliNDY.webp | https://pictures-nigeria.jijistatic.com/112623548_MTExLTE0OC03MmEwNDZmZjJi.webp | https://pictures-nigeria.jijistatic.com/112623571_MTExLTgzLTcwNjQ2ZDk0YWQ.webp,Automatic,89325 km,Petrol,Foreign Used,Airbags | AM/FM Radio | Anti-Lock Brakes | Air Conditioning | Alloy Wheels,Goldmind Automobile,https://jiji.ng/magodo/cars/toyota-sienna-le-2008-gray-keUHB6OMkQ5bc75Xzd1rwOAW.html,No faults,Toyota,Sienna,2008,LE,Minivan,Front Wheel,3500           cc,6,270           hp,Gray,8,No,,,,
Lexus RX 350 2010 Black,"₦ 11,000,000",₦ 10.94 M ~ 11 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/108165225_NjIwLTYyMC05MGI2MTIzNjc0.webp,https://pictures-nigeria.jijistatic.com/108165225_MTExLTExMS05MGI2MTIzNjc0.webp | https://pictures-nigeria.jijistatic.com/108165227_MTExLTExMS1lZDA5YTJiOTU3.webp | https://pictures-nigeria.jijistatic.com/108165221_MTExLTExMS03NzQ5YmQxNGQ1.webp | https://pictures-nigeria.jijistatic.com/108165228_MTExLTExMS1lZTEwNDRkZmEx.webp | https://pictures-nigeria.jijistatic.com/108165224_MTExLTExMS0zNmMxNTU0OGQ0.webp,Automatic,,Petrol,Foreign Used,,Empathy Automobile Limited,https://jiji.ng/ogba/cars/lexus-rx-350-2010-black-gk7BYlTaVeWkbiEULOV8qtIQ.html,No faults,Lexus,RX,2010,350,SUV,,3500           cc,6,279           hp,Black,5,No,,,,
Mercedes-Benz C300 2011 Red,"₦ 6,500,000,",₦ 6.01 M ~ 6.5 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/116490293_NjIwLTQ2NS0zYjZkZjlhYWRk.webp,https://pictures-nigeria.jijistatic.com/116490293_MTExLTgzLTNiNmRmOWFhZGQ.webp | https://pictures-nigeria.jijistatic.com/116490437_MTExLTcxLWQ1M2Q5NjFiOTk.webp | https://pictures-nigeria.jijistatic.com/116490559_MTExLTgwLTQxYzc1NmFlZjM.webp | https://pictures-nigeria.jijistatic.com/116490557_MTExLTc5LWY1YjU1YjUyZDA.webp | https://pictures-nigeria.jijistatic.com/116490599_MTExLTY4LWU2MzE1ZjIzNjA.webp,Automatic,,Petrol,Foreign Used,,Toluautos,https://jiji.ng/ogba/cars/mercedes-benz-c300-2011-red-rha1kopGPDa5kJPIwbXUplzN.html,"No faults, Original parts, Unpainted",Mercedes-Benz,C300,2011,Sport Sedan RWD (3.0L 6cyl 6M),Sedan,Rear Wheel,3000           cc,6,228           hp,Red,5,,,,,
New Toyota Land Cruiser 2023 Black,"₦ 195,000,000",,"Lagos, Victoria Island",https://pictures-nigeria.jijistatic.com/116285353_NjIwLTYyMC1iOTNmMjUzNmJh.webp,https://pictures-nigeria.jijistatic.com/116285353_MTExLTExMS1iOTNmMjUzNmJh.webp | https://pictures-nigeria.jijistatic.com/116285283_MTExLTExMS0wZThmOTcyYTdi.webp | https://pictures-nigeria.jijistatic.com/115980435_MTExLTE0NC00ZmYxYzgyODlj.webp | https://pictures-nigeria.jijistatic.com/115980437_MTExLTE0Ny0zODkwNzU0MWIx.webp | https://pictures-nigeria.jijistatic.com/116285442_MTExLTEzNS1mZDQxNTAyNWIy.webp,Automatic,,,Brand New,,AutoCabinet,https://jiji.ng/victoria-island/cars/new-toyota-land-cruiser-2023-black-tPZSGifjlXXBbTjEqtZ1cLm4.html,No faults,Toyota,Land Cruiser,2023,,,,,,,Black,,No,,,,0           km
Lexus RX 330 2004 Silver,"₦ 4,200,000,",₦ 6.3 M ~ 6.5 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/116862910_NjIwLTQ2NS05MzM2YzEzNzFj.webp,https://pictures-nigeria.jijistatic.com/116862910_MTExLTgzLTkzMzZjMTM3MWM.webp | https://pictures-nigeria.jijistatic.com/116862909_MTExLTgzLWRmZWQ4N2RjMGQ.webp | https://pictures-nigeria.jijistatic.com/116862906_MTExLTE0OC1iMTVlZmUxYjhj.webp | https://pictures-nigeria.jijistatic.com/116862905_MTExLTgzLTZmNWVlYzFhYzY.webp | https://pictures-nigeria.jijistatic.com/116862908_MTExLTgzLTk4YTAyNmVhOTc.webp,Automatic,,,Foreign Used,,Tenimu Realdwanullah,https://jiji.ng/gwarinpa/cars/lexus-rx-330-2004-silver-kEKDwn6XsR7fh4BCbuMNzKq3.html,No faults,Lexus,RX,2004,330,,,,,,Silver,,Yes,,,,
Mercedes-Benz B-Class 2007 Silver,"₦ 5,700,000,",,"Lagos, Ajah",https://pictures-nigeria.jijistatic.com/116443755_NjIwLTQ2NS0yNmMxOWU0MTYw.webp,https://pictures-nigeria.jijistatic.com/116443755_MTExLTgzLTI2YzE5ZTQxNjA.webp | https://pictures-nigeria.jijistatic.com/116443712_MTExLTgzLThkNmVkODZiNzI.webp | https://pictures-nigeria.jijistatic.com/116443722_MTExLTE0OC1kMGYyZDQyNzVj.webp | https://pictures-nigeria.jijistatic.com/116443715_MTExLTE0OC0xMzY0YWY3OWZi.webp | https://pictures-nigeria.jijistatic.com/116443737_MTExLTE0OC1mYzM2NWI0MDlh.webp,Automatic,137057 km,,Foreign Used,Air Conditioning | Airbags | Alloy Wheels | CD Player | AM/FM Radio,Asphalt Nitro Automobiles,https://jiji.ng/ajah/cars/mercedes-benz-b-class-2007-silver-kNX8vNFbRtckW4FVATIib5qX.html,"No faults, Unpainted, Original parts",Mercedes-Benz,B-Class,2007,,,,,,,Silver,,No,,,,
Mercedes-Benz E300 2017 Brown,"₦ 20,000,000",₦ 23.5 M ~ 27.15 M,"Abuja, Central Business District",https://pictures-nigeria.jijistatic.com/68939279_NjIwLTgyNy1hMTZmNTU3MjAz.webp,https://pictures-nigeria.jijistatic.com/68939279_MTExLTE0OC1hMTZmNTU3MjAz.webp | https://pictures-nigeria.jijistatic.com/68939251_MTExLTE0OC1hZjc2ZDI3NjUw.webp | https://pictures-nigeria.jijistatic.com/68939249_MTExLTE0OC1mOGZiZjVhN2Uy.webp | https://pictures-nigeria.jijistatic.com/68939253_MTExLTE0OC1iZTQwYTY1YzNj.webp | https://pictures-nigeria.jijistatic.com/68939255_MTExLTE0OC1iZmFjMzE1OTY0.webp,Automatic,71000 km,,Foreign Used,,Onuko Ezeh,https://jiji.ng/central-business-district/cars/mercedes-benz-e300-2017-brown-m9kUfXnkODRfTojYgNX63sPK.html,"Unpainted, No faults, Original parts",Mercedes-Benz,E300,2017,4Matic AWD Sedan (2.0L 4cyl 9A),Sedan,All Wheel,2000           cc,4,,Brown,,No,Yes,3N1AB7AP7HY******,,
Kia Optima 2013 Red,"₦ 5,050,000,",,"Lagos, Isolo",https://pictures-nigeria.jijistatic.com/109095748_NjIwLTQ2NS05MGRlZWZjYjBj.webp,https://pictures-nigeria.jijistatic.com/109095748_MTExLTgzLTkwZGVlZmNiMGM.webp | https://pictures-nigeria.jijistatic.com/109095751_MTExLTgzLTA5ZTJiYTgxODU.webp | https://pictures-nigeria.jijistatic.com/109095756_MTExLTgzLTAyZjcwOGJiOGM.webp | https://pictures-nigeria.jijistatic.com/109095761_MTExLTgzLThiMjlhZTRkMmQ.webp | https://pictures-nigeria.jijistatic.com/109095772_MTExLTgzLTAwZmVlZjRhYTc.webp,Automatic,,,Foreign Used,,FRANK NONNYDONS AUTOS,https://jiji.ng/isolo/cars/kia-optima-2013-red-cFwfFoLUc1qfha2hePtm3pHX.html,No faults,Kia,Optima,2013,,,,,,,Red,,No,,,,
Lexus RX 350 AWD 2008 Gray,"₦ 8,000,000",₦ 7.18 M ~ 7.5 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/107760271_NjIwLTgyNy04ZTBmNjUwNzBi.webp,https://pictures-nigeria.jijistatic.com/107760271_MTExLTE0OC04ZTBmNjUwNzBi.webp | https://pictures-nigeria.jijistatic.com/107760268_MTExLTE0OC01OGU5ZWFkN2Uy.webp | https://pictures-nigeria.jijistatic.com/107760274_MTExLTE0OC0wNjQxMWFhNzIx.webp | https://pictures-nigeria.jijistatic.com/107760266_MTExLTE0OC0xZGE2ZmRkMDZk.webp | https://pictures-nigeria.jijistatic.com/107760264_MTExLTE0OC0yMGM2MzE5ZDZh.webp,Automatic,85000 km,Petrol,Foreign Used,,Georebus Autos,https://jiji.ng/ogba/cars/lexus-rx-350-awd-2008-gray-3WNcBQZxTv1RMKElUeEepRG6.html,No faults,Lexus,RX,2008,350 AWD,SUV,All Wheel,3400           cc,6,274           hp,Gray,5,No,,,,
Nissan Frontier 2004 Black,"₦ 2,900,000",,"Edo, Benin City",https://pictures-nigeria.jijistatic.com/92170160_NjIwLTQ2MC1mOGMzODE4OTkz.webp,https://pictures-nigeria.jijistatic.com/92170160_MTExLTgyLWY4YzM4MTg5OTM.webp | https://pictures-nigeria.jijistatic.com/92170161_MTExLTg0LThhZjcwNmE2MTY.webp | https://pictures-nigeria.jijistatic.com/92170322_MTExLTgzLTAyYzA3ODVkY2E.webp | https://pictures-nigeria.jijistatic.com/92170312_MTExLTgzLTYzNzkzYzYyYzY.webp | https://pictures-nigeria.jijistatic.com/92170319_MTExLTgzLWQ3YjI2NWVlMjA.webp,Automatic,,,Nigerian Used,,EZODAN AUTOS,https://jiji.ng/oredo/cars/nissan-frontier-2004-black-p0G6appHjbLyQQZ2ZW20Hsok.html,No faults,Nissan,Frontier,2004,XE V6 King Cab Desert Runner,Pickup,,3300           cc,6,184           hp,Black,3,Yes,,,,
Toyota Land Cruiser 2014 Black,"₦ 26,500,000",₦ 25.1 M ~ 26.5 M,"Lagos, Magodo",https://pictures-nigeria.jijistatic.com/108245696_NjIwLTgyNy01ZDc5N2RiMDYx.webp,https://pictures-nigeria.jijistatic.com/108245696_MTExLTE0OC01ZDc5N2RiMDYx.webp | https://pictures-nigeria.jijistatic.com/108245699_MTExLTE0OC01ZjI5NThhM2Ex.webp | https://pictures-nigeria.jijistatic.com/108245697_MTExLTE0OC0yZGRhNGZmYjky.webp | https://pictures-nigeria.jijistatic.com/108245687_MTExLTE0OC04Mzk3NDJkNGNj.webp | https://pictures-nigeria.jijistatic.com/108245685_MTExLTE0OC1hMzcyZDY0NWI0.webp,Automatic,,,Nigerian Used,,lanpets,https://jiji.ng/magodo/cars/toyota-land-cruiser-2014-black-59KyacLir1RdjDQic6tgqCbX.html,No faults,Toyota,Land Cruiser,2014,,,,,,,Black,,Yes,Yes,,,
Toyota Camry 2008 Gray,"₦ 4,700,000,",₦ 4.5 M ~ 4.7 M,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/117234911_NjIwLTQ2NS00OTlmZDAwYTAz.webp,https://pictures-nigeria.jijistatic.com/117234911_MTExLTgzLTQ5OWZkMDBhMDM.webp | https://pictures-nigeria.jijistatic.com/117234912_MTExLTgzLWZhOTczZTdkZTQ.webp | https://pictures-nigeria.jijistatic.com/117234910_MTExLTgzLTU2YzMyNTFlZjA.webp | https://pictures-nigeria.jijistatic.com/117234913_MTExLTgzLTg2ZjRhMGE4OTM.webp | https://pictures-nigeria.jijistatic.com/117234918_MTExLTgzLTQ5YWNjMDIzNTA.webp,Automatic,,,Foreign Used,AM/FM Radio | AM/FM Radio | CD Player | Airbags | Airbags | Alloy Wheels | CD Player | Air Conditioning | Alloy Wheels | Air Conditioning,Okoli,https://jiji.ng/ojodu/cars/toyota-camry-2008-gray-ilE3Zsqaj2qKXJLdSo3w0ErR.html,No faults,Toyota,Camry,2008,,,,,,,Gray,,No,,,,
Toyota Tacoma 2013 Gray,"₦ 13,250,000",₦ 13.48 M ~ 13.52 M,"Lagos, Lekki",https://pictures-nigeria.jijistatic.com/112876300_NjIwLTgyNy1mZWU1OThjNzA5.webp,https://pictures-nigeria.jijistatic.com/112876300_MTExLTE0OC1mZWU1OThjNzA5.webp | https://pictures-nigeria.jijistatic.com/112875374_MTExLTE0OC1mM2JkNzNmOTI5.webp | https://pictures-nigeria.jijistatic.com/112875373_MTExLTE0OC05Mzg1ZGRjNGI0.webp | https://pictures-nigeria.jijistatic.com/112875381_MTExLTgzLWNjNmY2NWU4YzM.webp | https://pictures-nigeria.jijistatic.com/112875378_MTExLTgzLWRmM2RkOGUyMjY.webp,Automatic,76000 km,Petrol,Foreign Used,Air Conditioning | AM/FM Radio | Alloy Wheels | CD Player | Airbags | Anti-Lock Brakes | Electric Windows | Front Fog Lamps,Carvolution Nigeria Limited,https://jiji.ng/lekki/cars/toyota-tacoma-2013-gray-dz4Nv9kqwRnqXXy0zY5p7ZTo.html,No faults,Toyota,Tacoma,2013,Double Cab 4x4 4.0L V6 5-Speed Automatic,Pickup,All Wheel,4000           cc,6,236           hp,Gray,5,No,,,,
Mercedes-Benz C300 2014 Black,"₦ 6,500,000,",₦ 7.75 M ~ 8.3 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/117342518_NjIwLTQ2NS05Y2U2MmQyMGI0.webp,https://pictures-nigeria.jijistatic.com/117342518_MTExLTgzLTljZTYyZDIwYjQ.webp | https://pictures-nigeria.jijistatic.com/117342553_MTExLTgzLTRmNDBhNmY2NTE.webp | https://pictures-nigeria.jijistatic.com/117342660_MTExLTgzLWRiZDVmN2NiNjI.webp | https://pictures-nigeria.jijistatic.com/117342702_MTExLTgzLWUxZjZhN2E5ZjQ.webp | https://pictures-nigeria.jijistatic.com/117342728_MTExLTgzLWExNDBkNjY1MTI.webp,Automatic,70000 km,Petrol,Foreign Used,Blind Spot Monitor | Traction Control | Front Fog Lamps | Armrests | Electric Mirrors | Leather Seats | Cruise Control | Air Conditioning | Anti-Lock Brakes | Alloy Wheels | Airbags | Sunroof | CarPlay | Electric Windows | Spotlight | AM/FM Radio | CD Player | Android Auto | Xenon Lights | Cup Holders,Batundetech Nigeria,https://jiji.ng/ikeja/cars/mercedes-benz-c300-2014-black-nQ4GLGlvUIujkSiX1r6s6hD7.html,"No faults, Original parts",Mercedes-Benz,C300,2014,Sport 4Matic Sedan AWD (3.5L 6cyl 7A),Sedan,All Wheel,3500           cc,6,248           hp,Black,5,,,,,
Lexus RX 2005 Gray,"₦ 4,200,000,",₦ 3.99 M ~ 4.4 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/115877666_NjIwLTU1NC0zNmFlOTMwYjI0.webp,https://pictures-nigeria.jijistatic.com/115877666_MTExLTk5LTM2YWU5MzBiMjQ.webp | https://pictures-nigeria.jijistatic.com/115877661_MTExLTg4LTliODZhZmUzNjg.webp | https://pictures-nigeria.jijistatic.com/115877665_MTExLTkzLWZkMTkwYzkwNDM.webp | https://pictures-nigeria.jijistatic.com/115877675_MTExLTE1MC00NDE5OWNlMTAz.webp | https://pictures-nigeria.jijistatic.com/115877669_MTExLTUwLWMxNjk3OGUxYWI.webp,Automatic,80000 km,,Nigerian Used,,Lash autos,https://jiji.ng/amuwo-odofin/cars/lexus-rx-2005-gray-3bf7cf1rFyA0gcNSTDzjT9NM.html,No faults,Lexus,RX,2005,,,,,,,Gray,,Yes,,,,
Lexus ES 300 2004 Silver,"₦ 3,700,000",₦ 3.56 M ~ 3.7 M,"Ondo, Akure",https://pictures-nigeria.jijistatic.com/104426341_NjIwLTQ2NS1jZGM0NGJlY2M3.webp,https://pictures-nigeria.jijistatic.com/104426341_MTExLTgzLWNkYzQ0YmVjYzc.webp | https://pictures-nigeria.jijistatic.com/104426345_MTExLTE0OC1jNjMzNzViMmQ5.webp | https://pictures-nigeria.jijistatic.com/104426347_MTExLTgzLTUxZjkzMjA1ZWE.webp | https://pictures-nigeria.jijistatic.com/104426346_MTExLTgzLTMwOTAxZWNkZmY.webp | https://pictures-nigeria.jijistatic.com/104426355_MTExLTgzLWE2MzlkNWQyYzU.webp,Automatic,190000 km,Petrol,Foreign Used,,Sky Lolo Autos,https://jiji.ng/akure-south/cars/lexus-es-300-2004-silver-zS6rNAJ99sHhO6M0rZqfwqf4.html,"Original parts, No faults",Lexus,ES,2004,300,Sedan,Front Wheel,3000           cc,4,220           hp,Silver,5,No,Yes,,,
Lexus RX 350 2008 White,"₦ 4,750,000",₦ 4.55 M ~ 4.75 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/116852386_NjIwLTUwOC00ODQyOTVlNjY3.webp,https://pictures-nigeria.jijistatic.com/116852386_MTExLTkxLTQ4NDI5NWU2Njc.webp | https://pictures-nigeria.jijistatic.com/116852383_MTExLTk3LTc4YzI5Y2FiNzQ.webp | https://pictures-nigeria.jijistatic.com/116852384_MTExLTEwMS1jNGRkNTdkN2Nk.webp | https://pictures-nigeria.jijistatic.com/116852388_MTExLTEyMS03MmYyNTJlNzQz.webp | https://pictures-nigeria.jijistatic.com/116852385_MTExLTEyNy1jMjA0MWNjZjlk.webp,Automatic,,Petrol,Nigerian Used,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Sunroof | Leather Seats,H_O_A Autos,https://jiji.ng/ogba/cars/lexus-rx-350-2008-white-5xmdHESYrIoDvslSDZTPuqar.html,"No faults, Unpainted",Lexus,RX,2008,350,SUV,Front Wheel,3500           cc,6,275           hp,White,5,Yes,Yes,,,
Acura MDX 2008,"₦ 2,000,000,",₦ 3.3 M ~ 3.5 M,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/117216325_NjIwLTgyNy02YTZkY2U2NTll.webp,https://pictures-nigeria.jijistatic.com/117216325_MTExLTE0OC02YTZkY2U2NTll.webp | https://pictures-nigeria.jijistatic.com/117216326_MTExLTE0OC1mYmQ3NTBjM2Fh.webp | https://pictures-nigeria.jijistatic.com/117216327_MTExLTgzLTViZDRiMmY5MDA.webp | https://pictures-nigeria.jijistatic.com/117216328_MTExLTgzLTUzNDdjNzEyNDg.webp | https://pictures-nigeria.jijistatic.com/117216341_MTExLTgzLWI5Y2M5YWE1ZmI.webp,Automatic,,,Nigerian Used,,Tamunomiesam Godswill,https://jiji.ng/port-harcourt/cars/acura-mdx-2008-GwcqAbG9IC2uDhdpXm8sS6Q.html,No faults,Acura,MDX,2008,,,,,,,Other,,Yes,No,,,
Toyota Corolla 2009 Red,"₦ 4,300,000,",₦ 4.58 M ~ 4.8 M,"Oyo, Ibadan",https://pictures-nigeria.jijistatic.com/117219814_NjIwLTgyNy01MDIzYzQzYTI3.webp,https://pictures-nigeria.jijistatic.com/117219814_MTExLTE0OC01MDIzYzQzYTI3.webp | https://pictures-nigeria.jijistatic.com/117219817_MTExLTE0OC0wYzRmODFhNjAw.webp | https://pictures-nigeria.jijistatic.com/117215318_MTExLTgzLThhZWMyYmQ3NmI.webp | https://pictures-nigeria.jijistatic.com/117215323_MTExLTgzLTAxNmU0MjhjODM.webp | https://pictures-nigeria.jijistatic.com/117219818_MTExLTE0OC01NzU2NDM5YzQ0.webp,Automatic,,,Foreign Used,,Adebayo,https://jiji.ng/ibadan/cars/toyota-corolla-2009-red-zWrz6qvJY3OzhIjOmPn5kxiQ.html,No faults,Toyota,Corolla,2009,,,,,,,Red,,,,,,
Toyota Highlander XLE 2019 Black,"₦ 18,500,000",₦ 23 M ~ 24.86 M,"Abuja, Central Business District",https://pictures-nigeria.jijistatic.com/116925594_NjIwLTgyNy03Mjk3M2U4NDk0.webp,https://pictures-nigeria.jijistatic.com/116925594_MTExLTE0OC03Mjk3M2U4NDk0.webp | https://pictures-nigeria.jijistatic.com/116925593_MTExLTE0OC1mYWNiNjZhOGNh.webp | https://pictures-nigeria.jijistatic.com/116925596_MTExLTgzLTg3ODg1MmQwNTA.webp | https://pictures-nigeria.jijistatic.com/116925597_MTExLTE0OC0zZjY5MDhiOThh.webp | https://pictures-nigeria.jijistatic.com/116925598_MTExLTgzLWJkOGM5NmQwN2Y.webp,Automatic,30000 km,,Foreign Used,,Rich Rich,https://jiji.ng/central-business-district/cars/toyota-highlander-xle-2019-black-m8rNlqyzQu1tADLhHpjRDnB6.html,"No faults, Unpainted, Original parts",Toyota,Highlander,2019,XLE,,,,,295           hp,Black,,No,,,,
Mercedes-Benz GLC-Class 2016 Brown,"₦ 21,500,000",₦ 23 M ~ 23.6 M,"Lagos, Magodo",https://pictures-nigeria.jijistatic.com/117217159_NjIwLTc1Ny1lNWM2MTYyNjJm.webp,https://pictures-nigeria.jijistatic.com/117217159_MTExLTEzNi1lNWM2MTYyNjJm.webp | https://pictures-nigeria.jijistatic.com/117217168_MTExLTEzMC1iNjczMGM2MjRl.webp | https://pictures-nigeria.jijistatic.com/117217158_MTExLTEzMS0wNzc3MDJmZWE0.webp | https://pictures-nigeria.jijistatic.com/117217157_MTExLTEzOS1lZDA4YTE5OGM2.webp | https://pictures-nigeria.jijistatic.com/117217163_MTExLTc4LWM4YzhiNjQ2OWE.webp,Automatic,85000 km,,Foreign Used,,Goldia Ebere,https://jiji.ng/magodo/cars/mercedes-benz-glc-class-2016-red-x2zozNtJOBItOSEsqd7lPYDi.html,"First owner, No faults, Original parts",Mercedes-Benz,GLC-Class,2016,,,,,,,Brown,,,,,,
Toyota Camry 2013 Black,"₦ 6,000,000,",₦ 6.45 M ~ 6.65 M,"Abuja, Central Business District",https://pictures-nigeria.jijistatic.com/113207707_NjIwLTQ2NS05ZmVjNjM3YjEw.webp,https://pictures-nigeria.jijistatic.com/113207707_MTExLTgzLTlmZWM2MzdiMTA.webp | https://pictures-nigeria.jijistatic.com/113207607_MTExLTgzLThlNjgxOTVkOGY.webp | https://pictures-nigeria.jijistatic.com/113207611_MTExLTgzLTEwM2RkYTQ0ZDc.webp | https://pictures-nigeria.jijistatic.com/113207610_MTExLTgzLWEwN2JkYjJlZDY.webp | https://pictures-nigeria.jijistatic.com/113207616_MTExLTE0OC04ZDU3OWEzNDg4.webp,Automatic,113090 km,,Foreign Used,Electric Mirrors | Alloy Wheels | Airbags | Armrests | Cup Holders | Front Fog Lamps | AM/FM Radio | Electric Windows | CD Player | Air Conditioning,Abdullahi Ishiaka,https://jiji.ng/central-business-district/cars/toyota-camry-2013-black-AWvFXsGoZx5slsADLssGMuNS.html,No faults,Toyota,Camry,2013,LE 4dr Sedan (2.5L 4cyl 6A),,,,,,Black,,No,No,4T1BF1FK7CU******,,
Toyota Camry LE (2.5L 4cyl 8A) 2019 Red,"₦ 13,500,000,",₦ 15.5 M ~ 16.54 M,"Abuja, Wuse 2",https://pictures-nigeria.jijistatic.com/115922160_NjIwLTQ2NS1mYzJhOGFkOTJi.webp,https://pictures-nigeria.jijistatic.com/115922160_MTExLTgzLWZjMmE4YWQ5MmI.webp | https://pictures-nigeria.jijistatic.com/115922156_MTExLTgzLWNkYzQxYzVjOTY.webp | https://pictures-nigeria.jijistatic.com/115922161_MTExLTE0OC0yMTM0ZDA0OGE4.webp | https://pictures-nigeria.jijistatic.com/115922157_MTExLTE0OC0yNzRkOTk3Njdk.webp | https://pictures-nigeria.jijistatic.com/115922162_MTExLTgzLTRmZTVhMTIzMGQ.webp,Automatic,45230 km,,Foreign Used,Air Conditioning | Airbags | Alloy Wheels | LED Headlights | Electric Windows | Cup Holders,Kevin Ejiofor,https://jiji.ng/wuse-ii/cars/toyota-camry-le-2-5l-4cyl-8a-2019-red-BQ4QE8OS9lvVuV34mfUgtaSf.html,"First owner, Original parts, No faults",Toyota,Camry,2019,LE (2.5L 4cyl 8A),,,,,,Red,,No,No,,,
