Name,Price,Market price,Location,Thumbnail,Images,Gear,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Seats,Registered Car,VIN Chassis number,Exchange Possible
Mercedes-Benz CLS 550 4MATIC 2012 Blue,"₦ 11,500,000,",,"Lagos, Lekki",https://pictures-nigeria.jijistatic.com/117230116_NjIwLTQ2NS04MWVjYjYxYzAx.webp,https://pictures-nigeria.jijistatic.com/117230116_MTExLTgzLTgxZWNiNjFjMDE.webp | https://pictures-nigeria.jijistatic.com/117230089_MTExLTgzLThkODBlZWY2N2Q.webp | https://pictures-nigeria.jijistatic.com/117230132_MTExLTgzLTkzYzViYTMzOTE.webp | https://pictures-nigeria.jijistatic.com/117230085_MTExLTgzLTExYzdmNWYxMmQ.webp | https://pictures-nigeria.jijistatic.com/117230109_MTExLTgzLTcwMGU2NjljMjY.webp,Automatic,Blind Spot Monitor | Parking Sensors | Sunroof | Cup Holders | Air Conditioning | Airbags | Electric Mirrors | Alloy Wheels | LED Headlights | CD Player | Cruise Control | AM/FM Radio | Spotlight | Traction Control | Armrests | Electric Windows | Leather Seats | Anti-Lock Brakes | Xenon Lights | Front Fog Lamps,Mateen Autos,https://jiji.ng/lekki/cars/mercedes-benz-cls-550-4matic-2012-blue-mPupczUr9VUTLkDWmjANmsBz.html,"No faults, Original parts",Mercedes-Benz,CLS,2012,Blue,550 4MATIC,Sedan,All Wheel,4700           cc,8,408           hp,4,Yes,,
Lexus GX 2013 White,"₦ 20,500,000",₦ 20 M ~ 22 M,"Lagos, Ajah",https://pictures-nigeria.jijistatic.com/106669861_NjIwLTQ2NS1mOTFmOGQ1ODJm.webp,https://pictures-nigeria.jijistatic.com/106669861_MTExLTgzLWY5MWY4ZDU4MmY.webp | https://pictures-nigeria.jijistatic.com/106669851_MTExLTgzLWE3ODAxYWNmZDA.webp | https://pictures-nigeria.jijistatic.com/106669855_MTExLTgzLWU4YmU2NGIxMzg.webp | https://pictures-nigeria.jijistatic.com/106669859_MTExLTgzLWYyZjg1NTMxM2U.webp | https://pictures-nigeria.jijistatic.com/106669865_MTExLTgzLTBkMGU1MzlmN2U.webp,Automatic,,MO'CLIZER ENTERPRISES,https://jiji.ng/ajah/cars/lexus-gx-2013-white-ARkFHADVHFuBawvyVWHNyNqz.html,No faults,Lexus,GX,2013,White,,,,,,,,No,,
Toyota RAV4 2.5 4x4 2010 Gold,"₦ 4,400,000,",₦ 4.3 M ~ 4.44 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/116861249_NjIwLTQ2NS00MTZhMmQ0MThk.webp,https://pictures-nigeria.jijistatic.com/116861249_MTExLTgzLTQxNmEyZDQxOGQ.webp | https://pictures-nigeria.jijistatic.com/116861255_MTExLTgzLTk2ZTgxMzU4MWM.webp | https://pictures-nigeria.jijistatic.com/116861246_MTExLTgzLWNjNzcwMDk1YTI.webp | https://pictures-nigeria.jijistatic.com/116861250_MTExLTgzLTg0MWQ0ZTM0OWY.webp | https://pictures-nigeria.jijistatic.com/116861253_MTExLTgzLTY1YzI1NTQ3ZmM.webp,Automatic,,YSF AUTOS,https://jiji.ng/gwarinpa/cars/toyota-rav4-2-5-4x4-2010-gold-oNNQSYLDzhhifteFrX2G7Nle.html,No faults,Toyota,RAV4,2010,Gold,2.5 4x4,SUV,All Wheel,2500           cc,4,,5,Yes,,
Toyota Highlander Sport 2008 Blue,"₦ 7,300,000,",₦ 7.8 M ~ 8.22 M,"Lagos, Lekki",https://pictures-nigeria.jijistatic.com/117212554_NjIwLTQ2NS1iNmJmNTk4YzI4.webp,https://pictures-nigeria.jijistatic.com/117212554_MTExLTgzLWI2YmY1OThjMjg.webp | https://pictures-nigeria.jijistatic.com/117212555_MTExLTgzLTc5NjNmNjg2NTg.webp | https://pictures-nigeria.jijistatic.com/117212556_MTExLTE0OC0zZTg0ZGMxMTY3.webp | https://pictures-nigeria.jijistatic.com/117212557_MTExLTgzLWJjZDc3MzJjZTg.webp | https://pictures-nigeria.jijistatic.com/117212558_MTExLTgzLTBjYWNhZjE1Mjk.webp,Automatic,,Offor Chris Mereze,https://jiji.ng/lekki/cars/toyota-highlander-sport-2008-blue-6i8pvCf3QQ505OiXkzaBE1ZE.html,No faults,Toyota,Highlander,2008,Blue,Sport,SUV,All Wheel,3500           cc,6,274           hp,7,No,,
Lexus RX 2019 Silver,"₦ 27,500,000",₦ 29 M ~ 31.75 M,"Lagos, Ajah",https://pictures-nigeria.jijistatic.com/111272270_NjIwLTQ2NC01MTEzMjBmNjAy.webp,https://pictures-nigeria.jijistatic.com/111272270_MTExLTgzLTUxMTMyMGY2MDI.webp | https://pictures-nigeria.jijistatic.com/111272267_MTExLTE0OC1jZTc1YjUzY2Jl.webp | https://pictures-nigeria.jijistatic.com/111272355_MTExLTE0OC0yNjZmZjY3NDUz.webp | https://pictures-nigeria.jijistatic.com/111272269_MTExLTgzLWYxOGRlMDI5ODk.webp | https://pictures-nigeria.jijistatic.com/111272365_MTExLTE0OC01NzUxNGFiN2Ri.webp,Automatic,,MO'CLIZER ENTERPRISES,https://jiji.ng/ajah/cars/lexus-rx-2019-silver-BE3P5KfPBSeXNTDi0yaUu6Vs.html,No faults,Lexus,RX,2019,Silver,,,,,,,,No,,
Mercedes-Benz GLC-Class 2017 White,"₦ 19,000,000",₦ 23 M ~ 24.7 M,"Delta, Warri",https://pictures-nigeria.jijistatic.com/112510212_NjIwLTgyNy1lMDIzYzljYWM3.webp,https://pictures-nigeria.jijistatic.com/112510212_MTExLTE0OC1lMDIzYzljYWM3.webp | https://pictures-nigeria.jijistatic.com/112511808_MTExLTE0OC1kNDU4MWZlZjQy.webp | https://pictures-nigeria.jijistatic.com/112510189_MTExLTgzLTk5YjI3NzI2MTU.webp | https://pictures-nigeria.jijistatic.com/112511810_MTExLTgzLTBjOWI1M2EwNzE.webp | https://pictures-nigeria.jijistatic.com/112511812_MTExLTgzLTYxY2UxNjA5MGE.webp,Automatic,,Joyce Eko,https://jiji.ng/warri-south/cars/mercedes-benz-glc-class-2017-white-84oNzXWHDGFs9tnetaGAY7QE.html,No faults,Mercedes-Benz,GLC-Class,2017,White,"GLC300 Base Sport Utility 4-Door (2.0L, 4cyl Turbo)",,,2000           cc,4,,,,,
Toyota 4-Runner 2003 Blue,"₦ 3,200,000",₦ 2.57 M ~ 2.84 M,"Lagos, Ifako-Ijaiye",https://pictures-nigeria.jijistatic.com/112800874_NjIwLTQ2NS0xZTJjNDFjNzlk.webp,https://pictures-nigeria.jijistatic.com/112800874_MTExLTgzLTFlMmM0MWM3OWQ.webp | https://pictures-nigeria.jijistatic.com/112800889_MTExLTgzLTE4ZWUxNDI5YmY.webp | https://pictures-nigeria.jijistatic.com/112800875_MTExLTE0OC01ZWJkMDY3M2Mw.webp | https://pictures-nigeria.jijistatic.com/112800899_MTExLTE0OC04Y2FiZGVjMzc0.webp | https://pictures-nigeria.jijistatic.com/110657257_MTExLTgzLTMyNTFhNTc4MjU.webp,Automatic,,Lawal Oluwatobiloba,https://jiji.ng/ifako-ijaiye/cars/toyota-4-runner-2003-blue-2DiiGrDLEvQLodVUiUglBfMm.html,No faults,Toyota,4-Runner,2003,Blue,,,,,,,,Yes,,
Toyota Highlander 2021 Gray,"₦ 40,500,000,",₦ 40.15 M ~ 44 M,"Abuja, Kubwa",https://pictures-nigeria.jijistatic.com/109044757_NjIwLTQ2NS0yM2VkNjY5ZjRl.webp,https://pictures-nigeria.jijistatic.com/109044757_MTExLTgzLTIzZWQ2NjlmNGU.webp | https://pictures-nigeria.jijistatic.com/109044759_MTExLTgzLTIzNmU0MzliZTM.webp | https://pictures-nigeria.jijistatic.com/109044760_MTExLTgzLWFkMmMyOGUzOTc.webp | https://pictures-nigeria.jijistatic.com/109044761_MTExLTgzLWNkMmFiMGYwNjc.webp | https://pictures-nigeria.jijistatic.com/109044762_MTExLTE0OC04MWVlMzYxYWFj.webp,Automatic,,T Y AUTOS,https://jiji.ng/kubwa/cars/toyota-highlander-2021-gray-rlH5X2BygBxUtNYc2CojbmAM.html,"Original parts, Unpainted, No faults",Toyota,Highlander,2021,Gray,,,,,,,,,,
Toyota Camry 2007 Gray,"₦ 2,850,000,",₦ 2.93 M ~ 3 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/117205702_NjIwLTgyNy1mZTY4MTczYjA0.webp,https://pictures-nigeria.jijistatic.com/117205702_MTExLTE0OC1mZTY4MTczYjA0.webp | https://pictures-nigeria.jijistatic.com/117205701_MTExLTgzLTM2MTZlYTIwMTM.webp | https://pictures-nigeria.jijistatic.com/117205703_MTExLTgzLTU1N2I4NzAzNDk.webp | https://pictures-nigeria.jijistatic.com/117205704_MTExLTgzLTY2MDcxMTE0YzA.webp | https://pictures-nigeria.jijistatic.com/117205707_MTExLTE0OC0wOTQ3YTMyN2Yw.webp,Automatic,Cup Holders | Air Conditioning | Airbags | Electric Mirrors | Roof Rack | Alloy Wheels | Cruise Control | CD Player | AM/FM Radio | Electric Windows | Leather Seats | Anti-Lock Brakes | Front Fog Lamps,Arena Autos,https://jiji.ng/amuwo-odofin/cars/toyota-camry-2007-gray-pMP3qV3uJYL1EqlG5VlClxFM.html,No faults,Toyota,Camry,2007,Gray,XLE V6 4dr Sedan (3.5L 6cyl 6AM),Sedan,Front,3500           cc,6,268           hp,5,Yes,No,4T1BK46K07U******
Lexus LX 570 AWD 2015 Black,"₦ 29,999,999",,"Lagos, Ikoyi",https://pictures-nigeria.jijistatic.com/112745905_NjIwLTQ4NS0xZTU1ZDljNTVm.webp,https://pictures-nigeria.jijistatic.com/112745905_MTExLTg3LTFlNTVkOWM1NWY.webp | https://pictures-nigeria.jijistatic.com/112745892_MTExLTgzLWVjMmMxNjNkNzc.webp | https://pictures-nigeria.jijistatic.com/112745879_MTExLTk0LWZkM2QyMzM2MjU.webp | https://pictures-nigeria.jijistatic.com/112745880_MTExLTcyLThlNzczY2JjZWM.webp | https://pictures-nigeria.jijistatic.com/112745882_MTExLTcwLTkyYTQ0NTJkNDU.webp,Automatic,,WIZZI Autos,https://jiji.ng/ikoyi-obalende/cars/lexus-lx-570-awd-2015-black-349XKp7oS6gkm0sS23ZFdtA6.html,"No faults, First owner, First registration",Lexus,LX,2015,Black,570 AWD,SUV,All Wheel,5700           cc,8,370           hp,8,,,
Toyota Highlander 2018,"₦ 25,500,000",₦ 22.15 M ~ 25.5 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/111647070_NjIwLTQ2NS05ZTRmMjE1YjQy.webp,https://pictures-nigeria.jijistatic.com/111647070_MTExLTgzLTllNGYyMTViNDI.webp | https://pictures-nigeria.jijistatic.com/111647072_MTExLTgzLWFlMGYxNmMxNTM.webp | https://pictures-nigeria.jijistatic.com/111647067_MTExLTgzLTE4ZDI1NjA5YTE.webp | https://pictures-nigeria.jijistatic.com/111647083_MTExLTgzLWNjOWE3ZWZjYzc.webp | https://pictures-nigeria.jijistatic.com/111647074_MTExLTgzLTBiODdhNmIwYTI.webp,Automatic,,Iyanuoluwa Autos,https://jiji.ng/surulere/cars/toyota-highlander-2018-zpm8JwzLZDo08Ieu183VhWwR.html,"No faults, Unpainted",Toyota,Highlander,2018,Other,Limited 4x4 V6 (3.5L 6cyl 8A),SUV,All Wheel,3500           cc,6,295           hp,7-8,No,,
Hyundai Sonata 2013 Silver,"₦ 3,750,000,",₦ 5 M ~ 5.5 M,"Lagos, Ifako-Ijaiye",https://pictures-nigeria.jijistatic.com/117178311_NjIwLTQ2NS1lYTg4ZjFhNzFl.webp,https://pictures-nigeria.jijistatic.com/117178311_MTExLTgzLWVhODhmMWE3MWU.webp | https://pictures-nigeria.jijistatic.com/117178310_MTExLTgzLTg3YjljNmFiOGQ.webp | https://pictures-nigeria.jijistatic.com/117178308_MTExLTgzLTNiYjM4MTMwM2Q.webp | https://pictures-nigeria.jijistatic.com/117178305_MTExLTgzLTU1NmI5ZGU5MWQ.webp | https://pictures-nigeria.jijistatic.com/117178306_MTExLTgzLTVmODE1Zjg0ZTk.webp,Automatic,,Minar Cars,https://jiji.ng/ifako-ijaiye/cars/hyundai-sonata-2013-silver-smMVjymHICoDDfsPqZfhimzO.html,No faults,Hyundai,Sonata,2013,Silver,,,,,,,,No,,
Lexus RX 300 4WD 2004 Gray,"₦ 3,450,000,",₦ 3.8 M ~ 4.22 M,"Lagos, Ajah",https://pictures-nigeria.jijistatic.com/117173410_NjIwLTQ2MS1lZTg1YzI1Nzkw.webp,https://pictures-nigeria.jijistatic.com/117173410_MTExLTgyLWVlODVjMjU3OTA.webp | https://pictures-nigeria.jijistatic.com/117173429_MTExLTgzLTc0M2RlMmFiNTk.webp | https://pictures-nigeria.jijistatic.com/117173431_MTExLTgzLTU5ZDU1YWNlZmM.webp | https://pictures-nigeria.jijistatic.com/117173428_MTExLTgzLWZhNTQyNWU3ZTE.webp | https://pictures-nigeria.jijistatic.com/117173430_MTExLTgzLWM2MjQ4MWI5NDY.webp,Automatic,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Anti-Lock Brakes | Armrests | CarPlay | Cruise Control | Electric Windows | Electric Mirrors | Front Fog Lamps | Leather Seats | Sunroof,Igbalode Automobile Limited,https://jiji.ng/ajah/cars/lexus-rx-300-4wd-2004-gray-rlGfpouankmHAHaQIoE7xAhS.html,"No faults, Original parts, Wiring problems",Lexus,RX,2004,Gray,300 4WD,SUV,All Wheel,3000           cc,6,201           hp,5,Yes,,
Toyota Highlander Sport 2008 Gray,"₦ 7,650,000",₦ 7.8 M ~ 8.22 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/116019891_NjIwLTUxOC04Mjg5MjY2ZGRi.webp,https://pictures-nigeria.jijistatic.com/116019891_MTExLTkzLTgyODkyNjZkZGI.webp | https://pictures-nigeria.jijistatic.com/116019890_MTExLTEzMy04M2NhZDU1NWY5.webp | https://pictures-nigeria.jijistatic.com/116019884_MTExLTEzMy04NTIyMmFiMmVj.webp | https://pictures-nigeria.jijistatic.com/116019889_MTExLTkzLTcyM2FhZDkzMDg.webp | https://pictures-nigeria.jijistatic.com/116019888_MTExLTEzMy04ZDM3NjgwMDg4.webp,Automatic,Electric Windows | Leather Seats | Sunroof | Front Fog Lamps | Cup Holders | Air Conditioning | Airbags | Alloy Wheels | CD Player | AM/FM Radio | Armrests,E-YOUNG SERVICES LTD,https://jiji.ng/amuwo-odofin/cars/toyota-highlander-sport-2008-gray-diN950IHxseE8GekaJvQQdl7.html,No faults,Toyota,Highlander,2008,Gray,Sport,SUV,All Wheel,3500           cc,6,274           hp,7,No,,
Toyota Corolla 2010 Silver,"₦ 4,700,000",₦ 4.7 M ~ 4.9 M,"Lagos, Ojo",https://pictures-nigeria.jijistatic.com/112463860_NjIwLTQ2NC03ZGJmMGQ1NjJj.webp,https://pictures-nigeria.jijistatic.com/112463860_MTExLTgzLTdkYmYwZDU2MmM.webp | https://pictures-nigeria.jijistatic.com/112463867_MTExLTgzLTg5ZGUzY2QzMDg.webp | https://pictures-nigeria.jijistatic.com/112463865_MTExLTgzLTU4MGMyNGQ4Yjk.webp | https://pictures-nigeria.jijistatic.com/112463864_MTExLTgzLWExNDdlZjhiOTA.webp | https://pictures-nigeria.jijistatic.com/112463863_MTExLTgzLTA1OTY2MjY2NzU.webp,Automatic,,CHI LINK RESOURCES,https://jiji.ng/ojo/cars/toyota-corolla-2010-silver-n805T3cYKdQaApgTnjn2zl7h.html,No faults,Toyota,Corolla,2010,Silver,,,,,,,,,,
Ford Edge 2008 Gray,"₦ 3,000,000",₦ 2.55 M ~ 2.8 M,"Lagos, Ajah",https://pictures-nigeria.jijistatic.com/112783854_NjIwLTgyOC04YjhlZDYyNzYx.webp,https://pictures-nigeria.jijistatic.com/112783854_MTExLTE0OC04YjhlZDYyNzYx.webp | https://pictures-nigeria.jijistatic.com/112783855_MTExLTE0OC0wZGE3MTJjMWEy.webp | https://pictures-nigeria.jijistatic.com/112783856_MTExLTE0OC00YzdlY2E2NDVj.webp | https://pictures-nigeria.jijistatic.com/112783857_MTExLTE0OC04OTlkZWJmM2Iw.webp | https://pictures-nigeria.jijistatic.com/112783861_MTExLTgzLTUwYmYzNGI5ZjA.webp,Automatic,,AutoVic Ltd,https://jiji.ng/ajah/cars/ford-edge-2008-gray-BFNJyfeTtwAE3WHzvmSw7snq.html,No faults,Ford,Edge,2008,Gray,SEL 4dr AWD (3.5L 6cyl 6A),SUV,All Wheel,3500           cc,6,265           hp,5,Yes,,
Lexus GS 300 2002 Black,"₦ 2,900,000",,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/97192013_NjIwLTQ2NS1lNWY0NDk1MDQ2LTE.webp,https://pictures-nigeria.jijistatic.com/97192013_MTExLTgzLWU1ZjQ0OTUwNDYtMQ.webp | https://pictures-nigeria.jijistatic.com/97192039_MTExLTgzLTRmNDIxZjBmNWUtMQ.webp | https://pictures-nigeria.jijistatic.com/97192041_MTExLTgzLTEyMWY1YjYxYTctMQ.webp | https://pictures-nigeria.jijistatic.com/97192043_MTExLTgzLTAzOGFlNWUzNDItMQ.webp | https://pictures-nigeria.jijistatic.com/97192049_MTExLTgzLTdlMGUzN2ZmZWUtMQ.webp,Automatic,,Sedona Centre Limited,https://jiji.ng/ojodu/cars/lexus-gs-300-2002-black-uKW1q3jCpP9MzvYz7ORSNnZF.html,"Original parts, No faults",Lexus,GS,2002,Black,300,Sedan,Rear Wheel,3000           cc,6,212           hp,5,No,,
Toyota Camry 2.4 XLE 2005 Black,"₦ 2,500,000,",₦ 2.21 M ~ 2.5 M,"Anambra, Awka",https://pictures-nigeria.jijistatic.com/116846302_NjIwLTgyNy0xMGIwMDFmMTI1LTE.webp,https://pictures-nigeria.jijistatic.com/116846302_MTExLTE0OC0xMGIwMDFmMTI1LTE.webp | https://pictures-nigeria.jijistatic.com/116846362_MTExLTE0OC0xNDYyNWY5NTUyLTE.webp | https://pictures-nigeria.jijistatic.com/116844716_MTExLTE0OC0wNjVkNDBiY2I2LTE.webp | https://pictures-nigeria.jijistatic.com/116844717_MTExLTE0OC1hYjAyMDkwZGUwLTE.webp | https://pictures-nigeria.jijistatic.com/116845934_MTExLTE0OC03ZDJiM2Q2YzEzLTE.webp,Automatic,Air Conditioning | AM/FM Radio | CD Player | Airbags | Electric Mirrors | Cup Holders | CarPlay | Leather Seats | LED Headlights,Ikeluka Daniel,https://jiji.ng/awka-south/cars/toyota-camry-2-4-xle-2005-black-u9RGUGeMi74hB6R8lKXJThDQ.html,No faults,Toyota,Camry,2005,Black,2.4 XLE,Sedan,Front,,,160           hp,5,Yes,,
New JAC J4 2022 Beige,"₦ 25,000,000,",,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/116818511_NjIwLTQ2NS03NzYzNWQ1N2My.webp,https://pictures-nigeria.jijistatic.com/116818511_MTExLTgzLTc3NjM1ZDU3YzI.webp | https://pictures-nigeria.jijistatic.com/116818509_MTExLTgzLTkyNDgxZjk3ZTY.webp | https://pictures-nigeria.jijistatic.com/116818514_MTExLTgzLWNlYTdmNTkzYmE.webp | https://pictures-nigeria.jijistatic.com/116818499_MTExLTgzLWIxMmVhMTgwMjQ.webp | https://pictures-nigeria.jijistatic.com/116818502_MTExLTgzLWUyYjhiYWJlNzA.webp,Automatic,,Segun Bakare Autos,https://jiji.ng/ikeja/cars/new-jac-j4-2022-beige-kNl3jFe4PykNrMYVSsOL9Etv.html,No faults,JAC,J4,2022,Beige,,,,,,,,,,
Lexus RX 330 2006 Gray,"₦ 4,900,000,",₦ 3.9 M ~ 4.3 M,"Lagos, Isolo",https://pictures-nigeria.jijistatic.com/114944929_NjIwLTgyNy1lNThjMmNmNjc2.webp,https://pictures-nigeria.jijistatic.com/114944929_MTExLTE0OC1lNThjMmNmNjc2.webp | https://pictures-nigeria.jijistatic.com/114944905_MTExLTE0OC01OTdjZmQyZjhj.webp | https://pictures-nigeria.jijistatic.com/114944914_MTExLTE0OC1kYjExMTJiNTU4.webp | https://pictures-nigeria.jijistatic.com/114944934_MTExLTE0OC00ZDNlMGVlZGM5.webp | https://pictures-nigeria.jijistatic.com/114944892_MTExLTE0OC1iZDYxN2UxZDk5.webp,Automatic,Air Conditioning | Bullbar | CarPlay | Cup Holders | LED Headlights | Sunroof | Airbags | Blind Spot Monitor | Front Fog Lamps | Alloy Wheels | Electric Mirrors | Electric Windows | AM/FM Radio | Anti-Lock Brakes | Armrests | Cruise Control | CD Player | Android Auto | Leather Seats,chidex global autos,https://jiji.ng/isolo/cars/lexus-rx-330-2006-gray-ckkyeSUXSRs5VZDopWFAOLic.html,"Unpainted, Original parts, No faults",Lexus,RX,2006,Gray,330,SUV,,3300           cc,6,226           hp,5,Yes,,
Acura MDX 2008 Silver,"₦ 5,200,000",₦ 4.85 M ~ 5.1 M,"Lagos, Isolo",https://pictures-nigeria.jijistatic.com/115455986_NjIwLTQ2NS1jODNlNDQyMGNh.webp,https://pictures-nigeria.jijistatic.com/115455986_MTExLTgzLWM4M2U0NDIwY2E.webp | https://pictures-nigeria.jijistatic.com/115455984_MTExLTgzLWI4MGE0ZDRjOTg.webp | https://pictures-nigeria.jijistatic.com/109479931_MTExLTYyLTAyMTNkYjdkNTA.webp | https://pictures-nigeria.jijistatic.com/109479934_MTExLTYyLTMzODg1ODQ5YWU.webp | https://pictures-nigeria.jijistatic.com/115456013_MTExLTgzLWE1ZjQ5Njk2YzA.webp,Automatic,CD Player | Electric Windows | Winch | Parking Assist | Alloy Wheels | AM/FM Radio | Spotlight | Armrests | Sunroof | Cruise Control | Front Fog Lamps | Android Auto | Traction Control | Sidesteps | Blind Spot Monitor | Leather Seats | Roof Rack | LED Headlights | Anti-Lock Brakes | Electric Mirrors | Airbags,PlusZone,https://jiji.ng/isolo/cars/acura-mdx-2008-silver-fzz3VqSme5vNQ0S79Dr8JHBZ.html,"Original parts, Unpainted, No faults",Acura,MDX,2008,Silver,,,,,,,,No,Yes,
Lexus RX 2016 Black,"₦ 22,000,000",₦ 23.48 M ~ 24.51 M,"Lagos, Isolo",https://pictures-nigeria.jijistatic.com/115313489_NjIwLTQ2NS02MWYzMTIzYjYx.webp,https://pictures-nigeria.jijistatic.com/115313489_MTExLTgzLTYxZjMxMjNiNjE.webp | https://pictures-nigeria.jijistatic.com/115313387_MTExLTgzLThlNzAxNGYwYjM.webp | https://pictures-nigeria.jijistatic.com/115313495_MTExLTgzLTNmM2I1YTI0ZjQ.webp | https://pictures-nigeria.jijistatic.com/115313500_MTExLTgzLTJkNjE3OTU0MDI.webp | https://pictures-nigeria.jijistatic.com/115313499_MTExLTgzLTQzODExMWY0YTU.webp,Automatic,,Mudijay,https://jiji.ng/isolo/cars/lexus-rx-2016-black-wQlZ5hzVNWbQst1coKtGZA35.html,Original parts,Lexus,RX,2016,Black,,,,,,,,No,,
Toyota Highlander 2015 Gray,"₦ 13,850,000",₦ 12.5 M ~ 13.47 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/115991564_NjIwLTgyNy1mYjQwYTcxYWFh.webp,https://pictures-nigeria.jijistatic.com/115991564_MTExLTE0OC1mYjQwYTcxYWFh.webp | https://pictures-nigeria.jijistatic.com/115991570_MTExLTE0OC00ZTMwYzY3YTY0.webp | https://pictures-nigeria.jijistatic.com/115991569_MTExLTE0OC05YTliY2U0Mzky.webp | https://pictures-nigeria.jijistatic.com/115991572_MTExLTE0OC1jYzAxZGI0MmQ4.webp | https://pictures-nigeria.jijistatic.com/115991571_MTExLTE0OC1iZmVlNWE5ZWMw.webp,Automatic,,Prince Darrel,https://jiji.ng/surulere/cars/toyota-highlander-2015-gray-iq2XvjKQ53hb60rYpnt5gIld.html,"First registration, No faults",Toyota,Highlander,2015,Gray,LE 4dr SUV AWD (3.5L 6cyl 6A),SUV,All Wheel,3500           cc,6,270           hp,8,,,
Kia Rio 1.5 LS 2009 Black,"₦ 1,250,000",,"Lagos, Abule Egba",https://pictures-nigeria.jijistatic.com/117148236_NjIwLTgyNy00MTc4NGNiNzdk.webp,https://pictures-nigeria.jijistatic.com/117148236_MTExLTE0OC00MTc4NGNiNzdk.webp | https://pictures-nigeria.jijistatic.com/117148231_MTExLTE0OC0yNjlhOGRkYWE3.webp | https://pictures-nigeria.jijistatic.com/117148228_MTExLTE0OC1lM2MzODU1YjRh.webp | https://pictures-nigeria.jijistatic.com/117148230_MTExLTE0OC03ZDMzNmU5NmM2.webp | https://pictures-nigeria.jijistatic.com/117148232_MTExLTE0OC04ODRjYmRmMmQ4.webp,Automatic,Electric Windows | Front Fog Lamps | Air Conditioning | Airbags | CD Player | AM/FM Radio | Armrests,Kayode Olugbenle,https://jiji.ng/lagos-abule-egba/cars/kia-rio-1-5-ls-2009-black-mhqs5uLFvbuJoi8B2HzYIvLu.html,Original parts,Kia,Rio,2009,Black,1.5 LS,,Front Wheel,1500           cc,4,97           hp,5,Yes,,
Lexus IS 250 AWD 2006 Gray,"₦ 5,400,000",₦ 4.74 M ~ 4.99 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/107154142_NjIwLTQ2NS1lNjZlYWI0MGIw.webp,https://pictures-nigeria.jijistatic.com/107154142_MTExLTgzLWU2NmVhYjQwYjA.webp | https://pictures-nigeria.jijistatic.com/107154120_MTExLTgzLWVhY2JmZmU4MGU.webp | https://pictures-nigeria.jijistatic.com/107154121_MTExLTgzLWUzYzIzNzViZmU.webp | https://pictures-nigeria.jijistatic.com/107154122_MTExLTgzLWZiNmNmNTU2N2I.webp | https://pictures-nigeria.jijistatic.com/107154131_MTExLTgzLTZkNzkxMWY2NzM.webp,Automatic,,Delight Autos,https://jiji.ng/apapa/cars/lexus-is-250-awd-2006-gray-yDjhv07m6yfrny8e6M0qT6iS.html,No faults,Lexus,IS,2006,Gray,250 AWD,Sedan,All Wheel,2500           cc,6,208           hp,5,No,,
Mercedes-Benz GLK-Class 2012 Black,"₦ 6,500,000,",₦ 6.7 M ~ 6.99 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/114983227_NjIwLTQ2Ny05ZGIzNzkwYjA1.webp,https://pictures-nigeria.jijistatic.com/114983227_MTExLTg0LTlkYjM3OTBiMDU.webp | https://pictures-nigeria.jijistatic.com/114983231_MTExLTgxLWI3ODc5M2IyYjA.webp | https://pictures-nigeria.jijistatic.com/114983230_MTExLTc2LTI1YzdmZjRkZTg.webp | https://pictures-nigeria.jijistatic.com/114983229_MTExLTk3LWFhN2Y2MDJmMjA.webp | https://pictures-nigeria.jijistatic.com/114983228_MTExLTk4LWFlNDA5NWM3MGM.webp,Automatic,,Thrift0’clock Autos,https://jiji.ng/ogba/cars/mercedes-benz-glk-class-2012-black-tYc50ndM29Ag6Gvdfnf5Dl97.html,No faults,Mercedes-Benz,GLK-Class,2012,Black,,,,,,,,Yes,,
